[2024-12-16 12:54:01 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/informativo-mundial-de-las-misiones-4otrim-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:01 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/informativo-mundial-de-las-misiones-4otrim-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:01 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/informativo-mundial-de-las-misiones-4otrim-2015/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:01 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/informativo-mundial-de-las-misiones-4otrim-2016/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:01 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/invitacion-la-ultima-esperanza-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:01 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/iv-foro-de-grupos-pequenos/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:01 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/iv-trimestre-2012/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:01 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/iv-trimestre-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:01 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/iv-trimestre-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:01 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/iv-trimestre-2015/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:01 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/iv-trimestre-2016/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:01 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/la-biblia-habla/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:01 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/la-ultima-esperanza-serie/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:01 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/la-verdad/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:01 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/mi-codigo-fuente/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:01 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/ministerio-con-pasion/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:01 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/mision-360o/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:01 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/multiplicando-esperanza/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:01 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/pretrimestral/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:01 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/pretrimestral-1er-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:01 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/pretrimestral-1er-2015/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:01 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/pretrimestral-1er-2016/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:01 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/pretrimestral-2do-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:02 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/pretrimestral-2do-2015/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:02 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/pretrimestral-2do-2016/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:02 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/pretrimestral-3er-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:02 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/pretrimestral-3er-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:02 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/pretrimestral-3er-2015/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:02 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/pretrimestral-4to-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:02 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/pretrimestral-4to-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:02 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/pretrimestral-4to-2015/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:02 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/pretrimestral-4to-2016/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:02 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/probad-y-ved/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:02 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/probad-y-ved-2012/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:02 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/probad-y-ved-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:02 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/probad-y-ved-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:02 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/probad-y-ved-2015/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:02 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/probad-y-ved-2016/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:02 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/probad-y-ved-2017/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:02 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/adoracion-en-familia-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:02 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/programa-adoracion-en-familia-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:02 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/programa-adoracion-en-familia-2015/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:02 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/programa-adoracion-en-familia-2016/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:02 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/reavivados-por-su-palabra/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:02 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/reencuentro/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:03 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/reencuentro-2015/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:03 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/reencuentro-2016/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:03 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/revista-nt/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:03 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/rompiendo-el-silencio/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:03 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/sacgain-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:03 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/salud-para-la-familia/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:03 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/semana-de-la-familia/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:03 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/semana-de-la-familia-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:03 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/semana-de-la-familia-2015/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:03 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/semana-la-ultima-esperanza/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:03 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/semana-santa/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:03 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/semana-santa-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:03 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/semana-santa-2016/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:03 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/testimonio-semana-mayordomia-cristiana-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:03 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/testimonio-semana-mayordomia-cristiana-2015/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:03 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/testimonios-misioneros/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:03 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/testimonios-plenariadsa-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:03 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/unidos-en-oracion/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:03 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/videoclips-nuevo-tiempo/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:03 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/yo-conozco-mi-historia-series/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:03 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/yo-pienso-asi/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:04 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/regional-headquarter/dsa/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:04 : INFO] - Cache for associated posts for term with URL: https://www.adventistas.org/es/ninos/regional-headquarter/dsa/ have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:04 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/regional-headquarter/ua/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:04 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/regional-headquarter/ub/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:04 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/regional-headquarter/uch/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:04 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/regional-headquarter/ue/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:04 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/regional-headquarter/up/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:04 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/regional-headquarter/upn/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:04 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/regional-headquarter/ups/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:04 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/regional-headquarter/uu/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:04 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/regional-headquarter/aac/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:04 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/regional-headquarter/aan/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:04 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/regional-headquarter/aas/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:04 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/regional-headquarter/abo/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:04 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/regional-headquarter/acsch/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:04 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/regional-headquarter/amch/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:04 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/regional-headquarter/anop/  have been purged, triggered by action: edit_terms 
