[2024-12-16 12:54:24 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/i-trimestre-2016/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:25 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/i-will-go/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:25 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/i-will-go-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:25 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/iglesia-receptiva/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:25 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/ii-trimestre-2012/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:25 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/ii-trimestre-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:25 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/ii-trimestre-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:25 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/ii-trimestre-2015/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:25 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/ii-trimestre-2016/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:25 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/iii-trimestre-2012/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:25 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/iii-trimestre-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:25 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/iii-trimestre-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:25 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/iii-trimestre-2016/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:25 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/iii-trimestre-de-2015/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:25 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/informativo-mundial/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:25 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/informativo-mundial-de-las-misiones-1otrim-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:25 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/informativo-mundial-de-las-misiones-1otrim-2015/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:25 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/informativo-mundial-de-las-misiones-1otrim-2016/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:25 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/informativo-mundial-misiones-2-tri-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:26 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/informativo-mundial-de-las-misiones-2otrim-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:26 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/informativo-mundial-de-las-misiones-2otrim-2016/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:26 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/informativo-mundial-de-las-misiones-3otrim-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:26 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/informativo-mundial-de-las-misiones-3otrim-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:26 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/informativo-mundial-de-las-misiones-3otrim-2016/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:26 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/informativo-mundial-de-las-misiones-4otrim-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:26 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/informativo-mundial-de-las-misiones-4otrim-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:26 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/informativo-mundial-de-las-misiones-4otrim-2015/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:26 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/informativo-mundial-de-las-misiones-4otrim-2016/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:26 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/invitacion-la-ultima-esperanza-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:26 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/iv-foro-de-grupos-pequenos/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:26 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/iv-trimestre-2012/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:26 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/iv-trimestre-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:26 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/iv-trimestre-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:26 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/iv-trimestre-2015/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:26 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/iv-trimestre-2016/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:26 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/la-biblia-habla/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:26 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/la-ultima-esperanza-serie/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:26 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/la-verdad/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:27 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/mi-codigo-fuente/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:27 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/ministerio-con-pasion/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:27 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/mision-360o/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:27 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/multiplicando-esperanza/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:27 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/pretrimestral/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:27 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/pretrimestral-1er-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:27 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/pretrimestral-1er-2015/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:27 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/pretrimestral-1er-2016/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:27 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/pretrimestral-2do-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:27 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/pretrimestral-2do-2015/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:27 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/pretrimestral-2do-2016/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:27 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/pretrimestral-3er-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:27 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/pretrimestral-3er-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:27 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/pretrimestral-3er-2015/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:27 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/pretrimestral-4to-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:27 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/pretrimestral-4to-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:27 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/pretrimestral-4to-2015/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:27 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/pretrimestral-4to-2016/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:27 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/probad-y-ved/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:28 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/probad-y-ved-2012/  have been purged, triggered by action: edit_terms 
