[2026-04-06 13:55:34 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/ii-trimestre-2012/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:34 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/ii-trimestre-2013/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:34 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/ii-trimestre-2014/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:34 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/ii-trimestre-2015/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:34 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/ii-trimestre-2016/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:34 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/iii-trimestre-2012/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:34 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/iii-trimestre-2013/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:34 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/iii-trimestre-2014/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:34 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/iii-trimestre-2016/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:34 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/iii-trimestre-de-2015/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:34 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/informativo-mundial/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:34 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/informativo-mundial-de-las-misiones-1otrim-2014/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:34 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/informativo-mundial-de-las-misiones-1otrim-2015/  have been purged, triggered by action: edit_terms 
